"1776216_at","YDR204W",-0.06,0.2,0.04,-0.22,-0.3,-0.54,-0.17,-0.67,-0.34,0.08,-0.25,-0.15,-0.17,-0.67,-0.47,-0.45,-0.36,-0.36,0.87,-0.01,0.15,-0.27,-0.42,-0.71,-0.2,0.08,0.12,-0.03,-0.15,0.29,0.42,0.44,-0.49,-0.25,-0.43,-0.32,-0.34,-0.14,-0.1,0.03,-0.32,-0.1,-0.01,0.03,0.5,0.57,0.82,-0.12,0.39,0.42,1.32,1.18,1.37,-0.09,0.68,0.77,0.43,0.24,0.15,1.67,0.91,0.59,0.62,0.26,-0.07,-0.1,0.41,0.16,-0.1,0.19,0.28,-0.06,-0.56,0.16,0.03,-0.3,-0.1,0.8,0.3
"1775912_at","YIL111W",-0.01,0.32,0.56,0.41,0.33,0.2,0.14,-0.34,-0.38,-0.42,-0.42,-0.58,-0.47,0.58,-0.43,-0.4,-0.06,-0.47,0.39,-0.12,0.03,-0.58,-0.27,-0.94,-0.47,-0.56,-0.51,-0.54,-0.62,-0.64,-0.69,-0.51,1.11,-0.69,0.33,-0.27,0.1,0.58,0.57,0.94,0.93,0.97,0.72,1.57,1.39,1.12,2.11,-0.58,-0.43,0.56,1.49,1.68,1.24,-1.32,0.76,0.74,-0.54,1.6,-0.01,1.07,0.57,0.19,0.11,-0.29,-0.25,0.03,0.37,0.21,-0.18,0.12,0.08,-0.62,-0.09,0.14,0.68,1.1,1.46,2.99,1.08
"1776609_at","YKL142W",0.1,0.56,0.39,-0.58,-0.29,-0.34,-0.2,-0.42,-0.29,-0.27,-0.25,-0.49,-0.25,-0.92,-0.3,-0.67,-0.09,-0.67,1.51,0.04,-0.12,-0.67,-0.71,-0.62,-0.79,-0.42,-0.3,-0.69,-0.06,0.01,0.23,-0.1,-0.1,-0.32,-0.25,-0.17,-0.12,-0.32,0.01,-0.04,-0.01,-0.06,0.15,-0.17,0.95,1.06,1.45,-0.15,-0.29,0.18,1.82,1.8,1.77,-0.23,1.53,0.83,-0.49,-0.81,-0.29,1.06,0.67,-0.38,-0.25,-0.07,0.23,1.04,0.7,0.93,-0.3,0.99,0.19,-0.4,-0.06,0.23,0.23,0.5,1.02,2.48,1.14
"1776355_at","YOR089C",0.11,-0.2,-0.01,-0.09,-0.27,0.34,0.06,-0.03,-0.1,-0.22,-0.15,-0.4,-0.27,-0.29,0.08,-0.23,0.16,0.01,1.21,-0.04,-0.32,-0.2,0.04,-0.34,-0.18,-0.03,-0.04,-0.4,-0.2,-0.06,0.07,-0.15,0.46,0.3,0.34,0.36,0.25,0.2,0.43,0.23,0.4,0.51,0.36,0.15,0.95,0.69,1.01,-0.32,-0.81,-0.76,0.85,0.94,0.9,0.25,1.4,1.61,-0.58,-0.04,-0.22,-0.15,-0.27,-0.38,-0.49,-0.58,0.1,0.28,-0.25,0.21,-0.06,-0.15,-0.79,-0.12,0.06,0.07,0.07,-0.34,0.25,1.73,0.72
"1773675_at","YER042W",-0.29,1.1,-0.2,-0.06,-0.42,0.44,0.32,0.7,0.42,0.06,0.03,-0.14,-0.18,-0.3,-0.29,0.1,0.18,0.29,-0.25,0.61,0.1,-0.43,0.23,0.14,0.32,-0.34,-0.34,-0.12,0.31,-0.25,-0.58,-0.3,-0.49,-0.12,0.4,0.81,0.51,-0.17,-0.1,0.3,0.71,0.19,0.12,0.11,0.19,0.07,0.23,0.29,0.69,0.11,0.9,0.88,1.07,0.45,0.49,0.58,0.75,0.54,-0.58,-0.69,-0.34,-0.56,-0.36,-0.12,-0.62,-0.56,-0.89,-0.54,-0.38,0.15,-0.03,-0.23,-0.04,-0.03,0.18,-0.42,-0.51,0.1,-0.74
"1770112_at","YDR440W",-0.38,-0.18,-0.14,0.26,0.15,0.03,-0.14,-0.03,-0.38,-0.2,-0.17,0.14,0.21,-0.3,-0.2,-0.34,0.15,-0.42,-0.22,-0.14,0.12,0.06,0.65,0.38,-0.12,-0.15,-0.2,-0.06,0.07,-0.32,-0.32,-0.34,-0.49,0.11,0.24,-0.27,-0.42,-0.6,0.06,0.08,-0.18,-0.22,-0.4,-1.06,-0.18,-0.45,-0.36,-0.14,0.49,0.62,0.3,0.18,0.18,-0.14,-0.79,-0.74,1.23,1,0.55,-0.42,-0.06,-0.09,-0.42,0.42,-0.38,-0.27,-0.58,-0.67,0.2,0.59,0.63,0.93,-0.25,-0.3,-0.15,-0.32,-0.4,-0.54,-1.32
"1769418_at","YER114C",-0.58,-0.23,-0.84,-0.27,-0.09,0.11,-0.17,0.08,0.37,-0.12,0.11,-0.07,-0.04,0.18,0.32,0.54,-0.15,0.11,-0.04,0.18,0.2,0.36,0.11,0.29,0.23,0.2,0.33,0.2,0.01,0.24,0.32,0.11,-0.2,-0.07,-0.22,0.01,-0.6,-0.43,-0.34,0.55,0.41,-0.56,-0.4,0.25,-0.79,-0.79,-0.79,-0.03,0.34,0.77,0.5,0.34,0.62,-0.62,-0.36,-0.38,1.2,1.12,0.34,-0.34,-0.34,0.49,-0.12,0.4,-0.62,-0.69,-0.69,-0.64,0.12,0.16,0.57,0.92,0.08,-0.04,-0.18,-0.38,-0.4,-0.67,-0.74
"1777795_at","YAL043C",-0.2,-0.17,-0.15,-0.34,-0.29,-0.36,0.07,-0.25,0.04,-0.1,0.03,-0.62,-0.15,-0.36,-0.03,-0.07,-0.36,-0.25,0.07,-0.03,-0.17,0.44,0.12,-0.04,0.3,-0.09,0.11,-0.22,-0.42,0.21,-0.3,0.38,-0.43,0.11,-0.04,0.12,-0.76,0.38,0.15,-0.06,-0.04,0.14,-0.07,0.15,-0.43,-0.34,-0.38,-0.06,0.03,-0.03,0.71,0.8,0.58,-0.29,0.98,0.29,0.08,0.24,0.39,0.14,0.42,0.89,-0.09,0.74,-1,-0.86,-0.49,-0.43,0.38,0.69,1.36,0.74,0.03,-0.1,-0.62,-1.15,-0.62,-1.12,-0.4
"1771831_at","YLR430W",-0.38,-0.36,-0.56,-0.43,-0.29,-0.29,-0.12,-0.4,-0.09,0.28,-0.25,-0.32,-0.18,-0.45,-0.42,-0.09,-0.38,-0.17,-0.45,-0.06,0.06,0.31,-0.03,-0.18,-0.14,0.43,-0.09,0.15,-0.12,0.04,0.23,0.03,-0.04,-0.22,-0.25,-0.15,-0.06,0.08,-0.12,-0.38,-0.17,-0.12,-0.27,0.1,-0.25,-0.45,-0.58,-0.36,0.06,0.56,0.98,0.61,0.81,-0.54,0.26,-0.25,-0.12,0.53,-0.04,0.12,0.26,0.32,-0.27,0.59,-0.6,-0.4,-1.15,-0.86,0.31,0.58,0.85,0.71,-0.25,-0.04,-0.01,-0.36,-0.36,-0.76,-0.69
"1774889_at","YDR160W",-0.09,-0.1,-0.15,-0.03,0.07,-0.3,-0.06,-0.23,-0.07,0.03,0.03,-0.1,-0.25,-0.49,-0.03,-0.23,-0.04,-0.01,0.04,-0.6,-0.4,-0.34,-0.38,-0.25,-0.36,-0.03,-0.03,0.12,-0.36,-0.58,-0.43,-0.17,-0.22,-0.04,-0.3,-0.54,-0.64,-0.2,-0.62,0.75,-0.42,-0.86,-0.51,-0.43,-0.58,-0.58,-0.62,-0.32,-0.01,0.43,1.51,1.3,1.38,-0.71,0.28,0.11,0.31,0.63,-0.07,0.23,0.19,0.25,0.25,1.23,-0.04,-0.27,-0.36,0.16,-0.09,0.04,0.49,0.89,-0.62,-0.3,0.23,-0.32,-0.62,0.57,0.33
"1770458_at","YOR032C",-0.36,-0.25,-0.69,-0.49,-0.29,-0.3,-0.27,-0.07,-0.23,-0.34,-0.42,-0.23,-0.12,-0.36,-0.51,-0.27,-0.84,-0.3,0.91,-0.2,-0.06,-0.1,-0.34,-0.6,-0.25,-0.38,-0.64,-0.62,-0.2,-0.58,-1.06,-0.17,-1.18,0.24,-0.47,0.42,-0.36,-0.47,-0.43,1.42,1.45,-0.89,-0.1,0.8,-0.32,-0.34,-0.89,-0.18,-0.27,0.52,1.91,0.93,1.66,-1.69,0.94,1.27,-0.49,-0.15,0.43,0.21,0.21,0.63,0.12,0.29,-0.67,-0.34,-0.76,-0.51,-0.36,0.6,0.04,-0.29,-0.69,-0.69,0.67,-0.03,-0.38,1.05,0.83
"1776404_at","YDR362C",-0.36,-0.79,-0.29,-0.42,-0.22,-0.69,-0.34,-0.42,-0.23,-0.15,-0.25,-0.09,-0.09,-0.56,-0.07,-0.27,-0.22,-0.42,-0.15,-0.01,-0.14,0.24,-0.2,-0.3,-0.07,0.3,0.06,0.23,-0.25,0.08,-0.67,0.23,-0.32,-0.07,0.36,-0.32,-0.69,-0.43,-0.56,0.07,0.57,-0.23,-0.38,0.61,-0.34,-0.51,-0.54,-0.01,0.2,0.48,1.31,1.16,0.97,-0.71,0.54,0.41,0.7,0.86,-0.2,-0.17,0.15,0.45,0.31,0.44,-0.12,-0.42,-0.18,-0.15,0.5,0.71,-0.09,0.5,-0.32,-0.25,0.39,-0.03,-0.22,0.43,0.25
"1769834_at","YOR025W",-1.56,1.32,-1.03,-1.06,-0.67,-0.34,0.45,0.41,0.68,-0.06,-0.09,-0.43,-0.54,-0.74,-0.06,0.41,0.52,0.26,-0.74,-0.67,-0.67,-0.47,-0.67,-0.51,-0.29,-0.04,0.38,0.19,0.15,0.39,0.41,-0.01,-0.67,-1.89,-2.12,-0.12,0.98,0.67,-0.69,-0.97,-1.09,0.18,0.55,-0.58,-0.84,-1.09,-1.03,-0.4,0.93,1.78,1.99,2.05,1.87,-1.06,0.31,-0.07,0.87,1.67,-0.34,0.49,-0.04,-0.3,0.44,-0.14,0.03,-0.3,-0.6,-0.42,-0.2,0.1,-0.47,0.23,0.01,0.2,0.3,-0.34,-0.14,-0.74,-0.36
"1776391_at","YOR188W",-0.2,-0.49,-0.54,-0.38,0.04,-0.25,0.28,0.1,-0.23,-0.4,-0.62,-0.22,-0.12,-0.22,-0.03,0.12,-0.12,0.12,-1.06,-1.03,-0.6,0.06,-0.03,0.31,0.08,0.28,0.25,0.3,-0.12,-0.18,-0.27,-0.2,-0.43,-0.4,0.31,0.66,0.21,-0.54,-0.62,-0.36,0.3,0.21,-0.71,-0.71,-0.25,-0.47,-0.36,-0.27,0.44,0.66,1.64,1.65,1.43,-1,0.58,0.26,1.04,0.73,-0.25,-0.86,-0.29,0.76,0.08,0.4,-0.23,-0.54,0.01,-0.34,-0.43,0.46,-0.18,0.45,-0.01,-0.06,0.31,-0.36,-0.64,-0.06,-0.6
"1772903_at","YOR034C",-0.17,-0.29,-0.04,-0.1,0.18,0.11,0.14,-0.14,-0.03,0.08,-0.23,0.01,-0.04,-0.15,-0.09,-0.09,0.16,0.37,-0.62,-0.42,-0.47,-0.38,-0.3,-0.56,-0.15,0.07,0.1,0.06,-0.43,0.08,0.08,0.06,0.28,0.08,0.39,-0.17,0.12,-0.15,-0.27,-0.25,-0.09,-0.22,-0.25,-0.69,-0.4,-0.51,-0.58,-0.43,0.42,0.72,1.37,0.72,0.67,-0.51,0.21,-0.09,0.67,0.99,-0.14,-0.1,-0.49,0.19,0.25,0.82,0.1,-0.67,-0.36,-0.58,-0.56,-0.18,-0.76,-0.22,-0.15,0.04,0.18,-0.18,-0.23,0.3,-0.07
"1769997_at","YAL067C",-0.01,1.6,0.2,-0.38,-0.07,0.11,0.67,0.25,0.36,-0.15,-0.51,-0.17,-0.01,-0.51,0.32,-0.43,0.08,0.06,-0.64,-0.4,-0.42,-0.15,-0.12,-0.36,-0.3,-0.49,-0.3,-0.6,-0.32,-0.54,-0.74,-0.84,-0.74,-0.01,0.83,0.75,-0.92,-1.36,-0.84,0.25,-0.74,-1.12,-1.43,-0.15,-1.51,-1.15,-0.89,-0.17,0.58,1.55,3.26,1.61,2.8,-1.03,1.53,0.86,0.03,0.7,0.1,-0.79,0.28,0.37,-0.04,0.71,-0.56,-0.15,-0.86,-0.49,0.18,0.51,0.32,0.24,-1.12,-1,-0.42,-1.03,-0.89,0.44,0.24
